string,num,list,bool,date,time,truedata
anneau du Vic-Bilh,100,"One,two,THREE",true,1/1/1900,11:45 PM,3
ambert,99,"o,gsd,sdf",true,1/2/1900,11:46 PM,4
avaxtskyr,98,"8,5,4",false,1/3/1900,11:47 PM,5
Babybel,97,"uy,sdf",true,1/4/1900,11:48 PM,3
Baguette Laonnaise,96,"One,two,THREE",true,1/5/1900,11:49 PM,4
Bakers,95,"o,gsd,sdf",false,1/6/1900,11:50 PM,5
Baladi,94,"8,5,4",true,1/7/1900,11:45 PM,3
Bandal,93,"uy,sdf",true,1/8/1900,11:46 PM,4
Banon,92,"One,two,THREE",false,1/9/1900,11:47 PM,5
Basket Cheese,91,"o,gsd,sdf",true,1/10/1900,11:48 PM,3
Bath Cheese,90,"8,5,4",true,1/11/1900,11:49 PM,4
Beer Cheese,89,"uy,sdf",false,1/12/1900,11:50 PM,5
Bergader,88,"One,two,THREE",true,1/13/1900,11:45 PM,3
Bleu d'Auvergne,87,"o,gsd,sdf",true,1/14/1900,11:46 PM,4
Bleu de Gex,86,"8,5,4",false,1/15/1900,11:47 PM,5
Bleu de Laqueuille,85,"uy,sdf",true,1/16/1900,11:48 PM,3
Bleu Des Causses,84,"One,two,THREE",true,1/17/1900,11:49 PM,4
Blue Castello,83,"o,gsd,sdf",false,1/18/1900,11:50 PM,5
Bonchester,82,"8,5,4",true,1/19/1900,11:45 PM,3
Bosworth,81,"uy,sdf",true,1/20/1900,11:46 PM,4
Bougon,80,"One,two,THREE",false,1/21/1900,11:47 PM,5
Boursault,79,"o,gsd,sdf",true,1/22/1900,11:48 PM,3
Boursin,78,"8,5,4",true,1/23/1900,11:49 PM,4
Bouyssou,77,"uy,sdf",false,1/24/1900,11:50 PM,5
Breakfast Cheese,76,"One,two,THREE",true,1/25/1900,11:45 PM,3
Brebis du Lavort,75,"o,gsd,sdf",true,1/26/1900,11:46 PM,4
Brebis du Lochois,74,"8,5,4",false,1/27/1900,11:47 PM,5
Brebis du Puyfaucon,73,"uy,sdf",true,1/28/1900,11:48 PM,3
Bresse Bleu,72,"One,two,THREE",true,1/29/1900,11:49 PM,4
Brie,71,"o,gsd,sdf",false,1/30/1900,11:50 PM,5
Brie de Meaux,70,"8,5,4",true,1/31/1900,11:45 PM,3
